--- Solution of Y=AX: 
 X281 =  -7.584 
 X282 =   0.501 
 X283 =  -9.893 
 X284 =  -4.310 
 X285 =   5.411 
 X286 =  -4.195 
 X287 =   2.106 
 X288 =  -6.725 
 X289 =   6.447 
 X290 = -12.447 
 X291 =  -5.880 
 X292 =   4.281 
 X293 =   6.404 
 X294 = -15.894 
 X295 = -13.689 
 X296 =  -2.770 
 X297 =  -2.354 
 X298 =  -3.822 
 X299 =   0.635 
 X300 =   5.125 
 X301 = -14.838 
 X302 =  -5.448 
 X303 =  -6.069 
 X304 =  -2.333 
 X305 =   5.372 
 X306 =   0.466 
 X307 =  -3.433 
 X308 =  -3.605 
 X309 =  -2.539 
 X310 =   6.403 
 X311 =  -0.323 
 X312 =   1.208 
 X313 =  11.219 
 X314 =  10.493 
 X315 =  -0.907 
 X316 =  -4.554 
 X317 =  14.504 
 X318 =  -5.373 
 X319 = -14.269 
 X320 =  -5.160 
 X321 =  30.502 
 X322 =   4.130 
 X323 =   8.604 
 X324 =   9.753 
 X325 =   7.071 
 X326 =   8.739 
 X327 =  -8.527 
 X328 =  -0.154 
 X329 =   2.268 
 X330 =  21.948 
 X331 =  -5.751 
 X332 =  -7.674 
 X333 =  -3.610 
 X334 =  10.520 
 X335 =  -1.014 
 X336 =   9.772 
 X337 = -13.720 
 X338 =  -4.308 
 X339 =   0.723 
 X340 =   0.156 
 X341 = -13.458 
 X342 =  15.567 
 X343 =  15.584 
 X344 =  -8.841 
 X345 =   2.859 
 X346 = -10.838 
 X347 =  -3.954 
 X348 = -10.250 
 X349 =   0.362 
 X350 =  -9.507 
 X351 =  -2.833 
 X352 =   5.949 
 X353 =  -4.112 
 X354 =  -9.281 
 X355 = -27.431 
 X356 = -15.188 
 X357 =   6.545 
 X358 =  -1.626 
 X359 =   3.291 
 X360 =  -5.220 
 X361 =   9.341 
 X362 =   3.929 
 X363 =  -0.586 
 X364 =  -0.512 
 X365 = -12.978 
 X366 =  -0.335 
 X367 =  -4.920 
 X368 =  -9.745 
 X369 =  -8.459 
 X370 =   8.355 
 X371 =   2.948 
 X372 =   4.754 
 X373 =   2.822 
 X374 =  -8.776 
 X375 =   0.988 
 X376 =  -3.609 
 X377 =  -5.966 
 X378 =   1.827 
 X379 = -13.791 
 X380 =   5.417 
 X381 =  -8.898 
 X382 =  -5.950 
 X383 =  -6.845 
 X384 =   4.132 
 X385 =  -2.340 
 X386 =  -1.205 
 X387 =   7.387 
 X388 =   5.013 
 X389 = -16.937 
 X390 =   3.082 
 X391 =  -3.589 
 X392 =   2.126 
 X393 =   8.423 
 X394 =   1.781 
 X395 =   0.422 
 X396 =  -6.811 
 X397 =  -4.940 
 X398 =  -6.639 
 X399 =  -1.866 
 X400 = -11.766 
 X401 =  14.632 
 X402 = -19.489 
 X403 =  -1.747 
 X404 =   4.324 
 X405 =  -2.818 
 X406 =   6.814 
 X407 =  13.611 
 X408 =  -2.382 
 X409 =  -1.797 
 X410 =  -7.727 
 X411 =   6.175 
 X412 =  -1.972 
 X413 =   9.810 
 X414 = -10.205 
 X415 =  -4.266 
 X416 =  -0.705 
 X417 =   8.153 
 X418 =   3.820 
 X419 =  -5.423 
 X420 = -16.244 
 X421 =   8.502 
 X422 = -19.851 
 X423 =   8.576 
 X424 =  -7.003 
 X425 =  -9.113 
 X426 =   1.324 
 X427 =   9.637 
 X428 =  -1.717 
 X429 =   2.039 
 X430 =   1.320 
 X431 =  -5.736 
 X432 =  -1.661 
 X433 =  -0.483 
 X434 =  -1.569 
 X435 =  -1.353 
 X436 =  -3.677 
 X437 =   6.874 
 X438 =  -0.615 
 X439 =  -8.277 
 X440 =  -9.385 
 X441 =  -1.449 
 X442 =  -0.390 
 X443 =   2.916 
 X444 =   6.869 
 X445 =  -1.713 
 X446 =  -5.196 
 X447 = -10.307 
 X448 =  13.349 
 X449 =   2.371 
 X450 =  -7.804 
 X451 =  -4.238 
 X452 =  16.479 
 X453 =  -2.473 
 X454 =  -7.976 
 X455 =   4.400 
 X456 =   4.538 
 X457 =  -1.582 
 X458 =  -3.199 
 X459 =   4.519 
 X460 =  -7.798 
 X461 =  -3.067 
 X462 =  -5.566 
 X463 =   7.117 
 X464 =  -7.579 
 X465 =  12.345 
 X466 =   4.557 
 X467 =  29.219 
 X468 =   0.602 
 X469 =  15.793 
 X470 = -22.530 
 X471 =  18.878 
 X472 =  22.056 
 X473 =   3.440 
 X474 =  -5.084 
 X475 =  -3.480 
 X476 = -16.875 
 X477 =   1.640 
 X478 =  -0.201 
 X479 =   9.171 
 X480 =  -4.288 
 X481 =   3.108 
 X482 =   1.462 
 X483 =   0.450 
 X484 = -13.658 
 X485 = -11.955 
 X486 = -10.252 
 X487 =   8.828 
 X488 =  -8.822 
 X489 = -12.427 
 X490 =  -2.383 
 X491 =  13.533 
 X492 =   2.896 
 X493 =   5.743 
 X494 = -10.707 
 X495 = -11.653 
 X496 =   7.487 
 X497 =  -8.513 
 X498 =  16.909 
 X499 =   0.483 
 X500 =   5.112 
 X501 =   8.287 
 X502 =   8.308 
 X503 =  -4.951 
 X504 =  -0.764 
 X505 =   6.351 
 X506 =  16.469 
 X507 = -16.154 
 X508 =  -2.471 
 X509 =  -0.636 
 X510 =  13.777 
 X511 =  10.312 
 X512 = -16.772 
 X513 = -13.109 
 X514 = -11.374 
 X515 =   0.507 
 X516 =  -1.778 
 X517 =  -2.957 
 X518 =  -6.057 
 X519 =   4.564 
 X520 = -16.123 
 X521 =  -8.084 
 X522 =   4.990 
 X523 =   3.095 
 X524 =  19.469 
 X525 =   2.488 
 X526 =  -4.176 
 X527 =  -3.326 
 X528 =  -8.039 
 X529 =  -8.411 
 X530 =  -8.010 
 X531 =  12.176 
 X532 =  -8.169 
 X533 =  -5.460 
 X534 =  -8.357 
 X535 =   6.762 
 X536 =  16.541 
 X537 =  -7.802 
 X538 =   3.097 
 X539 = -12.685 
 X540 =  -9.440 
 X541 = -10.045 
 X542 = -11.815 
 X543 =  -1.317 
 X544 =   9.372 
 X545 =  20.035 
 X546 =   1.611 
 X547 =  -2.243 
 X548 =  10.608 
 X549 =  -1.193 
 X550 = -14.216 
 X551 =   7.478 
 X552 = -16.050 
 X553 =  -6.748 
 X554 =  12.408 
 X555 = -12.849 
 X556 =  -1.404 
 X557 = -10.007 
 X558 =   1.949 
 X559 =   7.844 
 X560 =  -7.670 
 X561 =  -4.376 
 X562 =   1.062 
 X563 =  -7.614 
 X564 = -21.878 
 X565 = -18.209 
 X566 =  11.102 
 X567 =  -3.238 
 X568 =   2.652 
 X569 =  10.407 
 X570 =   3.069 
 X571 =   2.775 
 X572 =   0.680 
 X573 =  -1.483 
 X574 =  19.913 
 X575 = -10.993 
