--- Solution of Y=AX: 
 X1205 =  -1.784 
 X1206 =  10.288 
 X1207 =  16.395 
 X1208 =   1.649 
 X1209 =   1.361 
 X1210 = -14.264 
 X1211 = -10.093 
 X1212 =  12.996 
 X1213 =  13.580 
 X1214 =  -2.189 
 X1215 =  -2.903 
 X1216 =   1.762 
 X1217 =  -2.380 
 X1218 =  12.811 
 X1219 =  -0.291 
 X1220 =   9.003 
 X1221 =   1.765 
 X1222 =   0.718 
 X1223 =  -0.184 
 X1224 = -10.668 
 X1225 =   9.660 
 X1226 =  -7.103 
 X1227 =  -0.066 
 X1228 =  10.073 
 X1229 =   2.700 
 X1230 =  -3.881 
 X1231 =  13.504 
 X1232 =  -1.074 
 X1233 =   1.737 
 X1234 =   0.714 
 X1235 =   2.435 
 X1236 =   8.226 
 X1237 =   6.660 
 X1238 =   6.363 
 X1239 = -13.383 
 X1240 = -17.997 
 X1241 =  -3.702 
 X1242 = -10.908 
 X1243 =   5.339 
 X1244 = -10.515 
 X1245 =   3.143 
 X1246 =  -6.841 
 X1247 =  12.505 
 X1248 =   7.123 
 X1249 =  -6.235 
 X1250 =  -3.132 
 X1251 = -15.332 
 X1252 =  20.963 
 X1253 =   2.137 
 X1254 =   4.171 
 X1255 =  -2.581 
 X1256 =   4.786 
 X1257 =  -2.160 
 X1258 =   2.017 
 X1259 = -14.201 
 X1260 = -12.647 
 X1261 =  -7.773 
 X1262 =  -0.201 
 X1263 =   8.833 
 X1264 =  -6.649 
 X1265 = -14.527 
 X1266 =  -2.110 
 X1267 =  -3.140 
 X1268 = -10.049 
 X1269 = -10.076 
 X1270 =  11.806 
 X1271 =  -9.985 
 X1272 =   2.492 
 X1273 =   6.756 
 X1274 =  15.367 
 X1275 = -16.206 
 X1276 =  -6.104 
 X1277 = -11.200 
 X1278 =   0.984 
 X1279 =  10.541 
 X1280 =   3.155 
 X1281 =   3.586 
 X1282 =  16.887 
 X1283 =  -8.963 
 X1284 =  -5.586 
 X1285 = -10.973 
 X1286 =   7.285 
 X1287 =  -7.678 
 X1288 =  -7.190 
 X1289 =  -6.316 
 X1290 =   4.162 
 X1291 =  -0.907 
 X1292 =   3.827 
 X1293 =   7.544 
 X1294 =  11.564 
 X1295 =   8.444 
 X1296 =  -4.578 
 X1297 =  -5.991 
 X1298 =   7.623 
 X1299 =   6.211 
 X1300 = -12.179 
 X1301 = -12.400 
 X1302 =   4.393 
 X1303 =  -9.443 
 X1304 =  -0.995 
 X1305 = -13.496 
 X1306 =  18.536 
 X1307 =  -0.496 
 X1308 =  22.583 
 X1309 =  -5.346 
 X1310 =  -9.363 
 X1311 =  -0.114 
 X1312 =  -6.529 
 X1313 =   4.881 
 X1314 =  -6.918 
 X1315 =  13.803 
 X1316 =   9.585 
 X1317 =  10.718 
 X1318 = -14.491 
 X1319 = -15.723 
 X1320 =  12.895 
 X1321 =  10.529 
 X1322 =  -0.016 
 X1323 =   9.169 
 X1324 =   7.962 
 X1325 =   2.452 
 X1326 =   1.492 
 X1327 =  10.499 
 X1328 =   3.408 
 X1329 =  19.906 
 X1330 =  -3.528 
 X1331 =   6.152 
 X1332 =  -6.614 
 X1333 =  10.886 
 X1334 =  -7.454 
 X1335 =   6.917 
 X1336 =  -5.215 
 X1337 = -12.937 
 X1338 =  -0.953 
 X1339 =  13.868 
 X1340 =  -2.222 
 X1341 =   4.102 
 X1342 =  -0.847 
 X1343 =   2.568 
 X1344 =  13.439 
 X1345 =  12.460 
 X1346 =  10.915 
 X1347 = -12.421 
 X1348 = -11.374 
 X1349 =   3.545 
 X1350 =  -3.825 
 X1351 =  -2.069 
 X1352 =   3.135 
 X1353 = -13.962 
 X1354 =  -5.486 
 X1355 =  16.097 
 X1356 = -12.540 
 X1357 =  -6.564 
 X1358 =  -3.227 
 X1359 =   4.235 
 X1360 = -13.110 
 X1361 =   3.338 
 X1362 =   3.543 
 X1363 =   7.932 
 X1364 =   2.452 
 X1365 =  -0.917 
 X1366 = -10.812 
 X1367 =  -8.913 
 X1368 =   6.010 
 X1369 =   9.657 
 X1370 = -11.925 
 X1371 =   6.409 
 X1372 = -17.621 
 X1373 = -10.197 
 X1374 =  11.896 
 X1375 =  -6.594 
 X1376 =  16.764 
 X1377 =   7.545 
 X1378 =  -8.909 
 X1379 =   3.041 
 X1380 =   0.192 
 X1381 =  -2.686 
 X1382 =   0.371 
 X1383 =   0.181 
 X1384 =  -1.873 
 X1385 = -14.362 
 X1386 =   1.493 
 X1387 =   1.784 
 X1388 =   3.228 
 X1389 =  10.485 
 X1390 = -21.841 
 X1391 =  -0.859 
 X1392 =   2.076 
 X1393 =   7.615 
 X1394 =   4.817 
 X1395 =  18.473 
 X1396 =  -4.789 
 X1397 =   0.514 
 X1398 =  26.676 
 X1399 =   1.396 
 X1400 =   3.365 
 X1401 =  -2.765 
 X1402 = -13.038 
 X1403 =  -5.787 
 X1404 =  11.971 
 X1405 =  10.121 
 X1406 =  -7.367 
 X1407 =   0.313 
 X1408 =  19.670 
 X1409 =  -8.656 
 X1410 =   5.225 
 X1411 =   7.452 
 X1412 =  -4.811 
 X1413 =  13.165 
 X1414 =   0.686 
 X1415 =  -2.329 
 X1416 =  -1.963 
 X1417 =  -6.628 
 X1418 =  -2.454 
 X1419 =  -9.837 
 X1420 =   3.729 
 X1421 =   9.514 
 X1422 =  25.057 
 X1423 =  18.818 
 X1424 =   1.215 
 X1425 =  -0.500 
 X1426 =   7.054 
 X1427 =   4.897 
 X1428 =   2.257 
 X1429 = -15.676 
 X1430 =  -2.411 
 X1431 =  -2.073 
 X1432 = -12.139 
 X1433 =  13.247 
 X1434 =   0.837 
 X1435 =  11.945 
 X1436 =  -8.457 
 X1437 =   7.189 
 X1438 =  -2.691 
 X1439 =   1.861 
 X1440 =  16.287 
 X1441 =  -2.843 
 X1442 =   6.534 
 X1443 =  17.864 
 X1444 =   1.082 
 X1445 = -24.325 
 X1446 =  -3.063 
 X1447 = -11.055 
 X1448 =   9.928 
 X1449 =   4.730 
 X1450 =   0.766 
 X1451 =  -6.156 
 X1452 =   7.740 
 X1453 =  -3.488 
 X1454 = -10.486 
 X1455 =  -3.471 
 X1456 =  -9.915 
 X1457 =  13.858 
 X1458 =   4.326 
 X1459 = -21.368 
 X1460 =  -8.629 
 X1461 =  -7.664 
 X1462 =   4.047 
 X1463 = -10.029 
 X1464 =  -4.771 
 X1465 =   0.785 
 X1466 = -10.104 
 X1467 =  19.431 
 X1468 = -10.595 
 X1469 =   4.027 
 X1470 = -17.245 
 X1471 =  -2.793 
 X1472 =  21.002 
 X1473 =   5.517 
 X1474 =   6.215 
 X1475 =   0.894 
 X1476 =  -1.269 
 X1477 =   0.058 
 X1478 =   3.185 
 X1479 =  -3.228 
 X1480 = -21.160 
 X1481 =   7.494 
 X1482 =   3.847 
 X1483 =   2.029 
 X1484 =  -3.991 
 X1485 = -11.215 
 X1486 =   1.640 
 X1487 =  -0.447 
 X1488 =   2.992 
 X1489 =  11.110 
 X1490 =  23.841 
 X1491 = -11.241 
 X1492 =  13.508 
 X1493 =  13.080 
 X1494 =  10.167 
 X1495 =   1.143 
 X1496 =   2.686 
 X1497 =  -0.222 
 X1498 =   6.579 
 X1499 =  -1.642 
 X1500 =  -9.033 
 X1501 =  -2.769 
 X1502 = -16.136 
 X1503 =   0.401 
 X1504 =   8.513 
 X1505 =  -8.120 
 X1506 =  12.607 
 X1507 =   6.741 
 X1508 =   4.034 
 X1509 = -14.569 
 X1510 =   0.322 
 X1511 =  -4.331 
 X1512 =   3.006 
 X1513 =  -9.672 
 X1514 =  10.942 
 X1515 =   6.629 
 X1516 =  -2.278 
 X1517 =   1.386 
 X1518 =  24.648 
 X1519 =  -6.917 
 X1520 =   5.011 
 X1521 =  -5.694 
 X1522 =  15.040 
 X1523 =  12.742 
 X1524 =   0.899 
 X1525 = -16.720 
 X1526 =  -6.679 
 X1527 = -15.402 
 X1528 =  -8.910 
 X1529 =  11.120 
 X1530 =   4.912 
 X1531 =   0.179 
 X1532 =   1.848 
 X1533 = -21.115 
 X1534 = -13.595 
 X1535 =  -1.864 
 X1536 =   5.053 
 X1537 =  -8.023 
 X1538 =  -4.076 
 X1539 =  13.529 
 X1540 = -17.015 
 X1541 =   1.234 
 X1542 =   4.320 
 X1543 = -18.296 
 X1544 =   4.969 
 X1545 =   3.586 
 X1546 =  19.187 
 X1547 =  -2.517 
 X1548 =   4.338 
 X1549 =  -9.723 
 X1550 =  12.098 
 X1551 =  22.458 
 X1552 =  -1.197 
 X1553 =   3.994 
 X1554 = -19.444 
 X1555 = -16.708 
 X1556 =   1.300 
 X1557 = -13.633 
 X1558 =   4.449 
 X1559 =  10.098 
 X1560 =  -4.654 
 X1561 =   5.615 
 X1562 =   8.605 
 X1563 = -10.509 
 X1564 =  -6.754 
 X1565 =   5.689 
 X1566 = -11.343 
 X1567 =   9.352 
 X1568 =   8.821 
 X1569 =  12.437 
 X1570 =   0.215 
 X1571 =  -0.673 
 X1572 =   6.779 
 X1573 =   2.540 
 X1574 =  -0.338 
 X1575 =  12.549 
 X1576 =   3.858 
 X1577 =   3.652 
 X1578 =  -1.865 
 X1579 =  -0.048 
 X1580 =   5.587 
 X1581 = -13.488 
 X1582 =   6.817 
 X1583 =  -3.398 
 X1584 =  -4.201 
 X1585 =  -9.687 
 X1586 =  -5.311 
 X1587 =   6.961 
 X1588 =  -5.283 
 X1589 =   4.444 
 X1590 =  -0.392 
 X1591 =   2.972 
 X1592 =   7.603 
 X1593 =   4.451 
 X1594 =  11.058 
 X1595 =   9.082 
 X1596 =  -2.522 
 X1597 =   0.435 
 X1598 =   3.214 
 X1599 =   4.324 
 X1600 =  -5.051 
 X1601 =   8.283 
 X1602 =   0.032 
 X1603 = -10.110 
 X1604 =  13.092 
 X1605 =  -5.618 
 X1606 =  -4.317 
 X1607 =  -5.001 
 X1608 =   8.365 
 X1609 =  15.431 
 X1610 = -12.485 
 X1611 =  -2.382 
 X1612 =   6.716 
 X1613 =   8.637 
 X1614 =   6.902 
 X1615 =  -0.231 
 X1616 =   7.591 
 X1617 =   1.622 
 X1618 =   8.255 
 X1619 =   4.335 
 X1620 = -18.185 
 X1621 =  -7.896 
 X1622 =   1.183 
 X1623 =  -1.589 
 X1624 =   6.994 
 X1625 =   3.357 
 X1626 =  -1.111 
 X1627 =  -4.450 
 X1628 =  21.546 
 X1629 =  14.395 
 X1630 =   3.096 
 X1631 =  -3.645 
 X1632 =  -0.518 
 X1633 =  -1.279 
 X1634 =  10.912 
 X1635 =   0.222 
 X1636 =   0.832 
 X1637 =   0.676 
 X1638 =  -6.112 
 X1639 =   4.753 
 X1640 = -23.866 
 X1641 =   0.494 
 X1642 = -12.258 
 X1643 =   7.520 
 X1644 =  -0.983 
 X1645 =   2.962 
 X1646 =  19.458 
 X1647 =  13.178 
 X1648 =  12.786 
 X1649 =   3.600 
 X1650 =  -1.517 
 X1651 =  -1.649 
 X1652 =   5.276 
 X1653 = -14.515 
 X1654 = -18.182 
 X1655 =  16.222 
 X1656 =   9.274 
 X1657 =   8.451 
 X1658 =   8.044 
 X1659 =  -0.268 
 X1660 =   1.951 
 X1661 =   8.580 
 X1662 = -10.539 
 X1663 =   3.793 
 X1664 =   6.697 
 X1665 = -14.166 
 X1666 =  -2.687 
 X1667 =   0.908 
 X1668 = -15.931 
 X1669 =   4.774 
 X1670 =  14.595 
 X1671 =   3.392 
 X1672 =   3.152 
 X1673 =   1.798 
 X1674 =  12.026 
 X1675 =  10.353 
 X1676 =   9.125 
 X1677 =  10.334 
 X1678 =   4.471 
 X1679 =  10.130 
 X1680 =  13.285 
 X1681 = -13.799 
 X1682 =  11.998 
 X1683 = -16.180 
 X1684 =  -2.491 
 X1685 =  -3.545 
 X1686 =   6.229 
 X1687 = -10.559 
 X1688 =  -2.969 
 X1689 =   3.031 
 X1690 =   3.215 
 X1691 = -19.455 
 X1692 =  -5.143 
 X1693 = -11.489 
 X1694 =  13.999 
 X1695 = -10.041 
 X1696 =  -9.315 
 X1697 =   4.663 
 X1698 =  -8.884 
 X1699 =  25.249 
 X1700 =  26.901 
 X1701 = -11.057 
 X1702 =  -5.857 
 X1703 =   0.748 
 X1704 = -13.043 
 X1705 =   9.815 
 X1706 =  -3.837 
 X1707 =   9.454 
 X1708 = -16.404 
 X1709 =   4.916 
 X1710 =  -2.728 
 X1711 =   4.771 
 X1712 =   7.762 
 X1713 =  14.986 
 X1714 =   3.530 
 X1715 =   5.174 
 X1716 =  -0.449 
 X1717 =  -8.962 
 X1718 =  14.769 
 X1719 =  12.217 
 X1720 = -11.437 
 X1721 =   6.280 
 X1722 =  -7.186 
 X1723 =  -3.417 
 X1724 =  28.314 
 X1725 =  -5.548 
 X1726 =  -3.402 
 X1727 =   1.304 
 X1728 = -11.736 
 X1729 =  -3.418 
 X1730 = -11.493 
 X1731 =   0.244 
 X1732 =  -3.749 
 X1733 =   0.250 
 X1734 =   5.723 
 X1735 =  -3.965 
 X1736 =   5.678 
 X1737 =  -9.648 
 X1738 =  13.414 
 X1739 =  -2.113 
 X1740 =  -8.412 
 X1741 = -13.218 
 X1742 =  -2.590 
 X1743 =  -6.849 
 X1744 =  -5.470 
 X1745 =  -3.585 
 X1746 =   3.360 
 X1747 =  24.179 
 X1748 =  -1.917 
 X1749 =  -8.348 
 X1750 =  -7.336 
 X1751 =   2.433 
 X1752 = -14.517 
 X1753 =  -2.380 
 X1754 =   2.908 
 X1755 =   7.884 
 X1756 =   3.383 
 X1757 = -24.510 
 X1758 =  -1.159 
 X1759 =   6.956 
 X1760 =   0.044 
 X1761 =   7.547 
 X1762 =  26.685 
 X1763 =   3.860 
 X1764 =  -1.337 
 X1765 =   7.116 
 X1766 =   0.623 
 X1767 = -24.475 
 X1768 =  -5.081 
 X1769 =   3.916 
 X1770 =   3.564 
 X1771 =  14.739 
 X1772 =   8.294 
 X1773 =  -1.926 
 X1774 =  10.897 
 X1775 =  -0.116 
 X1776 =  -3.390 
 X1777 =  10.432 
 X1778 =  -4.604 
 X1779 =  13.761 
 X1780 =  23.447 
 X1781 =   3.555 
 X1782 =   3.194 
 X1783 =  -2.367 
 X1784 =  -0.055 
 X1785 =  -9.395 
 X1786 =   7.008 
 X1787 =   4.470 
 X1788 =  -0.797 
 X1789 =   1.509 
 X1790 =   2.186 
 X1791 =  -2.694 
 X1792 =  13.772 
 X1793 =   0.324 
 X1794 =  -8.634 
 X1795 = -19.372 
 X1796 =  21.493 
 X1797 =   3.643 
 X1798 =  -4.266 
 X1799 =   6.946 
 X1800 =  -8.803 
 X1801 =  -7.781 
 X1802 =  -2.728 
 X1803 =  12.356 
 X1804 =  -3.311 
 X1805 =  -4.190 
 X1806 =  -6.151 
 X1807 =  -7.972 
 X1808 =  -9.239 
 X1809 =  -5.425 
 X1810 =   0.212 
 X1811 =   2.721 
 X1812 =  -3.127 
 X1813 =  10.369 
 X1814 =   8.027 
 X1815 =  21.983 
 X1816 =  -7.957 
 X1817 =  -2.237 
 X1818 =   1.645 
 X1819 =   5.259 
 X1820 =  -7.942 
 X1821 =  14.854 
 X1822 =  -4.242 
 X1823 = -25.547 
 X1824 =  -1.587 
 X1825 =  -0.922 
 X1826 = -16.049 
 X1827 = -16.721 
 X1828 =  -1.545 
 X1829 = -11.085 
 X1830 =   5.799 
 X1831 =  -0.749 
 X1832 = -18.291 
 X1833 =   6.431 
 X1834 =  -2.376 
 X1835 =  -3.008 
 X1836 =  13.303 
 X1837 =   3.022 
 X1838 =  -9.132 
 X1839 =  17.524 
 X1840 =  -0.460 
 X1841 =  11.988 
 X1842 =  -9.217 
 X1843 =  -0.337 
 X1844 =  -6.562 
 X1845 = -10.566 
 X1846 =   3.752 
 X1847 =   2.631 
 X1848 = -12.683 
 X1849 = -20.362 
 X1850 =  15.538 
 X1851 = -10.505 
 X1852 =   3.466 
 X1853 =  15.562 
 X1854 =  -6.744 
 X1855 =   6.325 
 X1856 =  -3.333 
 X1857 =  12.655 
 X1858 =  -4.590 
 X1859 =  -5.830 
 X1860 =  -1.403 
 X1861 =  -7.934 
 X1862 =   4.424 
 X1863 =   8.966 
 X1864 =  -1.448 
 X1865 =   2.408 
 X1866 =  -8.293 
 X1867 =   1.483 
 X1868 = -10.969 
 X1869 = -20.752 
 X1870 =   8.344 
 X1871 =  -1.138 
 X1872 =  -3.867 
 X1873 =  -0.395 
 X1874 =  11.521 
 X1875 =   9.080 
 X1876 =  13.092 
 X1877 =   3.794 
 X1878 =   1.228 
 X1879 =  -3.536 
 X1880 =  -2.231 
 X1881 =  26.148 
 X1882 =   6.337 
 X1883 =  -1.787 
 X1884 =   4.642 
 X1885 =   6.500 
 X1886 =  13.064 
 X1887 = -15.090 
 X1888 = -10.332 
 X1889 =  -8.198 
 X1890 =   7.011 
 X1891 =   0.475 
 X1892 =   8.242 
 X1893 = -10.602 
 X1894 =  -5.467 
 X1895 =  15.637 
 X1896 =   3.487 
 X1897 =   7.006 
 X1898 =   1.738 
 X1899 =  -8.062 
 X1900 =   0.129 
 X1901 =   1.025 
 X1902 = -11.622 
 X1903 = -17.472 
 X1904 =  -7.170 
 X1905 = -12.639 
 X1906 =  -3.680 
 X1907 =  -5.562 
 X1908 =   2.607 
 X1909 =  13.785 
 X1910 =  12.440 
 X1911 =  -1.521 
 X1912 =  12.394 
 X1913 = -13.172 
 X1914 =   3.708 
 X1915 =   1.943 
 X1916 =  -9.480 
 X1917 =   8.504 
 X1918 =   5.181 
 X1919 =  -5.724 
 X1920 =  -4.441 
 X1921 = -10.162 
 X1922 =   0.018 
 X1923 = -12.408 
 X1924 =   2.752 
 X1925 =  12.484 
 X1926 =   0.769 
 X1927 =  12.650 
 X1928 =   7.038 
 X1929 = -13.899 
 X1930 =   0.914 
 X1931 =   0.339 
 X1932 = -15.397 
 X1933 =  -3.280 
 X1934 =   2.925 
 X1935 =   1.944 
 X1936 =   1.694 
 X1937 =   6.854 
 X1938 =   4.710 
 X1939 =   3.854 
 X1940 =   5.031 
 X1941 =  -9.944 
 X1942 =  -2.351 
 X1943 =  -8.088 
 X1944 =   5.499 
 X1945 =   1.765 
 X1946 =  17.635 
 X1947 = -10.041 
 X1948 =   8.985 
 X1949 =   1.077 
 X1950 =  12.865 
 X1951 =   5.366 
 X1952 =  -5.036 
 X1953 =  -7.496 
 X1954 = -10.569 
 X1955 =  -5.727 
 X1956 =   8.895 
 X1957 =  10.899 
 X1958 =   2.315 
 X1959 =   6.289 
 X1960 =   3.011 
 X1961 =  18.710 
 X1962 =  -2.089 
 X1963 =  12.973 
 X1964 = -12.939 
 X1965 =   1.359 
 X1966 =  -5.523 
 X1967 =  -2.748 
 X1968 =   8.612 
 X1969 =  -2.356 
 X1970 =   3.283 
 X1971 = -10.953 
 X1972 =  -8.761 
 X1973 =  -7.284 
 X1974 =  10.929 
 X1975 =  25.293 
 X1976 =   1.977 
 X1977 =  -5.036 
 X1978 =  -1.536 
 X1979 =  -9.600 
 X1980 =   3.343 
 X1981 =  -2.774 
 X1982 = -16.013 
 X1983 =  -5.503 
 X1984 =   6.732 
 X1985 =  -6.755 
 X1986 =  10.823 
 X1987 =   1.410 
 X1988 =  -2.280 
 X1989 =  -4.739 
 X1990 =  13.183 
 X1991 =   6.897 
 X1992 =  -9.140 
 X1993 =   3.025 
 X1994 =  -6.869 
 X1995 =  14.711 
 X1996 = -17.756 
 X1997 =   2.806 
 X1998 =  15.470 
 X1999 =   4.951 
